S. No.,Proposal No.,Proposal Details,Project Name,Location,Project Proponent,Issuing Authority,Proposal Status,State_Value,Activity Description
34,SIA/UP/IND1/440912/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/140492/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
19/08/2023","Environmental clearance of proposed expansion of existing Rolling Mill for the production of Rolled products viz. Steel Bar/ TMT/ Wire Rod etc. from 2,00,000 MT/annum to 2,50,000 MT/annum through Reheating Furnace route along with downstream value added products including, annealing, pickling, bright bars, wires etc located at Plot No. A-3, South of G.T. Road Industrial Area, Ghaziabad, Uttar Pradesh by M/s Rathi Steel and Power Limited",UTTAR PRADESH,RATHI STEEL AND POWER LIMITED,SEIAA,TOR GRANTED,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
35,SIA/UP/IND1/440389/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/139989/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
15/08/2023","Expansion from present production capacity of 27,000 M.T. P.A to 88,000 M.T.P.A. for 1,15,00 TPA Ingot and 1,10,000 TPA TMT - M/s Nawla Ispat Private Limited, at Opp. Power House, Meerut Road, Sardhana, U.P. - 250342",UTTAR PRADESH,NAWLA ISPAT PRIVATE LIMITED,SEIAA,TOR Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
36,SIA/UP/IND1/439707/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/136986/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
08/08/2023","Proposed expansion of existing Rolling Mill (Steel Rolled Bars with Structural Mill) from 1,26,200 MT/Annum to 3,91,200 MT/Annum through Reheating Furnace and direct hot charging of Steel Billets along with proposed manufacturing of Steel Billet with capacity of 4,22,400 MT/Annum through (2) two Induction Furnaces located at Magarwara, District – Unnao, Uttar Pradesh by M/s RHL Profiles Limited",UTTAR PRADESH,RHL PROFILES LIMITED,SEIAA,EDS raised,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
37,SIA/UP/IND1/434137/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/133616/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
22/06/2023",Modernisation of Existing Rolling Mill of capacity 240000 MTPA (Metric Tons per Annum) and Setting up of 237600 MTPA MS Billet Plant through Induction Furnace Route & CCM” located at Plot E & C-133-152 Masuri Gulawati Road UPSIDC Industrial Area PO Udayamrampur Nagla District Hapur-201015 of M/s Shri Rathi Steel Limited,UTTAR PRADESH,SHRI RATHI STEEL LIMITED,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
38,SIA/UP/IND1/428490/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/128390/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
13/05/2023","Environmental Clearance for Regularization of the existing project of Rolling Mill having capacity of M.S Strip, M.S Flat, M.S Pipe -36000 TPA At Plot No. A-5/1, Amausi Industrial Area, Nadarganj, Lucknow, Uttar Pradesh- 226001 by M/s Four ESS Steel Products Private Limited",UTTAR PRADESH,FOUR ESS STEEL PRODUCTS PRIVATE LIMITED,SEIAA,TOR Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
39,SIA/UP/IND1/428147/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/124090/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
05/05/2023","Regularization of existing unit having production of 2,37,600 MTA Milled Steel Products as Sariya, Gatar and Ingal through Rolling mill at Khasra No. 142, 143, 144/240, 144/241, 144me, 145, 168, 169 Village – Dumduma, Tehsil Chunar, District – Mirzapur, Pin – 231304, Uttar Pradesh by M/s Maa Mahamaya Alloys Private Limited (Unit-2)",UTTAR PRADESH,BHUPENDRA AGRAWAL,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
40,SIA/UP/IND1/427763/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/127652/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
02/05/2023","Terms of Reference application for expansion of existing unit from 96mt/day to 400mt/day Billets and TMT Bars from 300 mt/day to 500 mt/day through Electrical/ Induction Furnace and 190MT/day production of sponge iron along with 4MW captive power plant at Village – Dhauhan, Tehsil Chunar, District – Mirzapur, Pin – 231304, Uttar Pradesh by M/s Maamahamaya Ispat and Alloys Private Limited",UTTAR PRADESH,BHUPENDRA AGRAWAL,SEIAA,TOR GRANTED,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
41,SIA/UP/IND1/423902/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/124090/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
29/03/2023","Regularization of existing unit having production of 2,37,600 MTA Milled Steel Products as Sariya, Gatar and Ingal through Rolling mill at Khasra No. 142, 143, 144/240, 144/241, 144me, 145, 168, 169 Village – Dumduma, Tehsil Chunar, District – Mirzapur, Pin – 231304, Uttar Pradesh by M/s Maa Mahamaya Alloys Private Limited (Unit-2)",UTTAR PRADESH,BHUPENDRA AGRAWAL,SEIAA,TOR GRANTED,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
42,SIA/UP/IND1/419966/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/117598/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
03/03/2023","Environmental Clearance of proposed production of 2,28,000 MTA Milled Steel Product as MS Strip, MS Beam, MS Angle, MS Channel & Pipes through rolling mill at Plot No. - 139mi, 142, 145 & 146, Village – Dumduma, Tehsil Chunar, District – Mirzapur, Pin – 231304, Uttar Pradesh by M/s MaaMahamaya Ispat & Alloys Private Limited.",UTTAR PRADESH,BHUPENDRA AGRAWAL,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
43,SIA/UP/IND1/413503/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/114567/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
14/02/2023",Manufacturing of TMT Bar by Sri Jaibalaji Steel Rolling Mills Pvt Ltd.,UTTAR PRADESH,SRI JAIBALAJI STEEL ROLLING MILLS PRIVATE LIMITED,SEIAA,TOR GRANTED,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
44,SIA/UP/IND1/408717/2022,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/109765/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
01/12/2022",Proposed Expansion of Production of 28800 MTPA TMT Bars to 99000 MTPA TMT Bars Ingot & Billets through Induction Furnace Route by M/s Aman Rolling Mills Pvt. Ltd.,UTTAR PRADESH,M/S AMAN ROLLING MILLS PVT. LTD.,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
45,SIA/UP/IND1/408455/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/109605/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
30/11/2022","Expansion from Steel Billets/Bloom - 30000 TPA to 250000 TPA, TMT/Round/Bars - 120000 TPA to 150000 TPA and Flat / Patra Coil – 100000 TPA at village- Malesiya, Tehsil- Dhanaura, District- Amroha (Uttar Pradesh) by M/s Wave Industries Private Limited",UTTAR PRADESH,WAVE INDUSTRIES PRIVATE LIMITED,SEIAA,TOR GRANTED,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
46,SIA/UP/IND1/406102/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/107477/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
17/11/2022",Expansion of Existing Rolling Mill of 100000 MTPA TMT Bar to Production of 200000 MTPA TMT Bar and 264000 MTPA Billets/Ingot/Rolling Mill,UTTAR PRADESH,K L RATHI STEELS LTD,SEIAA,TOR Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
47,SIA/UP/IND1/405956/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/107382/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
10/11/2022","Environmental Clearance for the expansion of existing production capacity of TMT Bar/MS Bar from 54000 MTA to 110000 MTA through continuous casting machine (CCM) and installation of two induction furnace of capacity 15 MT each for manufacturing of M.S Billets/M.S. Ingot having installed capacity 118800 MTA at Village Salarpur, Tehsil - Jansath, District - Muzaffarnagar – 251314 by M/s Swarup Rolling Mills Limited.",UTTAR PRADESH,SWARUP ROLLING MILLS LIMITED,SEIAA,TOR Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
48,SIA/UP/IND1/404969/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/106438/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
03/11/2022","Environmental clearance of expansion of existing Rolling Mill for the production of TMT round & bars from 34800 MT/Year to 1,02,960 MT/Year through induction furnace route and (CCM) located at Opposite 66 kVA Power station, Merrut road, Muzaffarnagar-251003 of M/s Bharat Steel Rolling Mills (Unit-1)",UTTAR PRADESH,BHARATSTEEL ROLLING MILLS,SEIAA,TOR GRANTED,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
49,SIA/UP/IND1/403268/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/104823/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
17/10/2022","production of TMT Bars 165000 MT/Year through rolling mill (CCM) and MS Billets 140000 MT/Year through induction furnace located at Khasra No 288 and 290, Village – Bhandoora, Jolly Road, District - Muzaffarnagar – 251001, Uttar Pradesh of M/s Swarup Steel Industries Private Limited",UTTAR PRADESH,SWARUP STEEL INDUSTRIES PRIVATE LIMITED,SEIAA,TOR GRANTED,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
50,SIA/UP/IND1/402846/2022,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/102453/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
11/10/2022","Environmental Clearance of proposed production of 3,75,000 TPA Steel Billets and 3,75,000 TPA TMT Bars, Sections and Strips through Induction Furnace at Village - Dharampur, Tehsil - Khair, District - Aligarh, U.P. of M/s Raadha Rukmani Steels Private Limited",UTTAR PRADESH,RAADHA RUKMANI STEELS PRIVATE LIMITED,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
1,SIA/UP/IND1/583703/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/288146/2026
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
30/06/2026","Proposed Standalone Cement Grinding unit with Cement Production Capacity of 2 x 3.0 Million TPA (6.0 Million TPA) along with DG Set (2 X 1250KVA) and Hot Air Generator (HAG) at Village - Harpur, Block - Uruwa, Tehsil - Gola (Dhuriyapar Industrial Area, Sector - S-5), District Gorakhpur, Uttar Pradesh by Ambuja Concrete North Private Limited (ACNPL)",UTTAR PRADESH,AMBUJA CONCRETE NORTH PRIVATE LIMITED,SEIAA,Under Examination,UTTAR PRADESH,3(b) Cement plants
2,SIA/UP/IND1/575319/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/246952/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
13/04/2026","Proposed Standalone Grinding Unit with Cement Production Capacity of 3.0 Million TPA (2 x 1.5 Million TPA) along with installation of DG Sets of capacity 1500 kVA (2 x 750 kVA) in phased manner at Village: Lohgara, Tehsil: Bara & District: Prayagraj, Uttar Pradesh by M/s. JK Lakshmi Cement Limited",UTTAR PRADESH,JK LAKSHMI CEMENT LIMITED,SEIAA,Proposal Accepted and Referred to SEAC,UTTAR PRADESH,3(b) Cement plants
3,SIA/UP/IND1/573700/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/258623/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
04/04/2026","Expansion in Cement Production Capacity of Standalone Grinding Unit from 1.3 Million TPA to 4.5 Million TPA (Phase – I: 1.3 to 1.5 Million TPA through process optimization in existing Mill and Phase II: 3.0 Million TPA by Installation of New Mill) at Village Ranauli- Latifpur, Tehsil: Dadri, District: Gautam Budh Nagar (Uttar Pradesh) by M/s. UltraTech Cement Limited (Unit: Dadri Cement Works)",UTTAR PRADESH,UltraTech Cement Limited,SEIAA,EC Granted,UTTAR PRADESH,3(b) Cement plants
4,SIA/UP/IND1/568267/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/274773/2026
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
06/02/2026","Cement Grinding Unit having 300 TPD (99000 TPA) production capacity at Mauza/village – Devariya Kala, Tehsil and District- Gonda, Uttar Pradesh by M/s JRP Cement Private Limited.",UTTAR PRADESH,JRP Cement Private Limited,SEIAA,ToR Granted,UTTAR PRADESH,3(b) Cement plants
5,SIA/UP/IND1/561440/2025,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/213247/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
19/12/2025",Proposed Project for Cement Grinding Unit for Production of 2.5 MTPA by M/s Kanodia Cem Private Limited,UTTAR PRADESH,KANODIA CEM PRIVATE LIMITED,SEIAA,ADS Raised,UTTAR PRADESH,3(b) Cement plants
6,SIA/UP/IND1/556198/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/264069/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
27/10/2025","Proposed Cement Grinding Unit having 300 TPD (99000 TPA) production capacity at Village - Chitang, Tehsil- Lalganj, District- Mirzapur, Uttar Pradesh by M/s Jeshan Industries Private Limited",UTTAR PRADESH,Jeshan Industries Private Limited,SEIAA,ToR Granted,UTTAR PRADESH,3(b) Cement plants
7,SIA/UP/IND1/550213/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/258623/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
03/09/2025","Expansion in Cement Production Capacity of Standalone Grinding Unit from 1.3 Million TPA to 4.5 Million TPA (Phase – I: 1.3 to 1.5 Million TPA through process optimization in existing Mill and Phase II: 3.0 Million TPA by Installation of New Mill) at Village Ranauli- Latifpur, Tehsil: Dadri, District: Gautam Budh Nagar (Uttar Pradesh) by M/s. UltraTech Cement Limited (Unit: Dadri Cement Works)",UTTAR PRADESH,UltraTech Cement Limited,SEIAA,ToR Granted,UTTAR PRADESH,3(b) Cement plants
8,SIA/UP/IND1/537335/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/246952/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
14/05/2025","Proposed Standalone Grinding Unit with Cement Production Capacity of 3.0 Million TPA (2 x 1.5 Million TPA) along with installation of DG Sets of capacity 1500 kVA (2 x 750 kVA) in phased manner at Village: Lohgara, Tehsil: Bara & District: Prayagraj, Uttar Pradesh by M/s. JK Lakshmi Cement Limited",UTTAR PRADESH,JK LAKSHMI CEMENT LIMITED,SEIAA,ToR Granted,UTTAR PRADESH,3(b) Cement plants
9,SIA/UP/IND1/533591/2025,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/243573/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
11/04/2025","Transfer of Environmental Clearance for ""Cement Grinding Unit"" at Araji No.-469MI & 470/1, Village-Dhauhan, Pargana-Sakteshgarh, Tehsil-Chunar, District- Mirzapur, U.P. to M/s SSK Cement Industries Private Limited.",UTTAR PRADESH,SSK Cement Industries Private Limited,SEIAA,EC Granted,UTTAR PRADESH,3(b) Cement plants
10,SIA/UP/IND1/480521/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/154654/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
13/01/2025","Proposed Clinker Grinding Unit having production capacity 1.4 Million TPA (Portland Pozzolana Cement (PPC) & Ordinary Portland Cement (OPC)) at Village - Budawa, Pargana - Arail, Tehsil-Bara, District- Prayagraj, Uttar Pradesh.",UTTAR PRADESH,RCCPL PRIVATE LIMITED,SEIAA,EC Granted,UTTAR PRADESH,3(b) Cement plants
11,SIA/UP/IND1/514349/2024,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/225408/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
31/12/2024",Kanodia Cement Limited Unit-2,UTTAR PRADESH,Kanodia cement Limited,SEIAA,"DELISTED BY SYSTEM
(at : 09/06/2025)",UTTAR PRADESH,3(b) Cement plants
12,SIA/UP/IND1/514466/2024,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/224985/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
31/12/2024",Kanodia Cement Limited Unit-3,UTTAR PRADESH,Kanodia cement Limited,SEIAA,"DELISTED BY SYSTEM
(at : 28/07/2025)",UTTAR PRADESH,3(b) Cement plants
13,SIA/UP/IND1/514476/2024,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/225697/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
13/12/2024","Shree Agra Cement Plant (Clinker Grinding Unit, Etah)",UTTAR PRADESH,SHREE CEMENT EAST PRIVATE LIMITED,SEIAA,EC Granted,UTTAR PRADESH,3(b) Cement plants
14,SIA/UP/IND1/502467/2024,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/213247/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/10/2024",Proposed Project for Cement Grinding Unit for Production of 2.5 MTPA by M/s Kanodia Cem Private Limited,UTTAR PRADESH,KANODIA CEM PRIVATE LIMITED,SEIAA,Standard ToR Granted,UTTAR PRADESH,3(b) Cement plants
15,SIA/UP/IND1/498051/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/184915/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
21/10/2024","Proposed Expansion in Cement Production Capacity from 2.0 Million TPA to 3.0 Million TPA by process optimization of Existing Stand - alone Grinding Unit at Village: Ingohta, Pargana- Sumerpur, Tehsil & District: Hamirpur, Uttar Pradesh by M/s. JK Cement Limited.",UTTAR PRADESH,J K CEMENT LIMITED,SEIAA,EC Granted,UTTAR PRADESH,3(b) Cement plants
